,Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Fiction / non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From,surname,page_number_group,price,Primary Genre numerical
254,Maror,Lavie Tidhar,2022,9781838931360,Bloomsbury,Head Of Zeus,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,554,,0,0,2,,Tidhar,500-600,,0
255,"Good Girl, Bad Blood",Holly Jackson,2020,9781405297752,Harper Collins,Electric Monkey,Paperback,Young Adult,"Childrens & Teenage, Crime & Mystery",Fiction,A Good Girls Guide To Murder,2,7.99,415,,0,0,1,,Jackson,400-500,£8-£10,9
256,As Good as Dead,Holly Jackson,2021,9780008509217,Harper Collins,Electric Monkey,Paperback,Young Adult,"Childrens & Teenage, Crime & Mystery",Fiction,A Good Girls Guide To Murder,3,8.99,565,,0,0,1,,Jackson,500-600,£8-£10,9
257,This is How You Lose the Time War,Max Gladstone,2019,9781529405231,Hachette,Quercus,Paperback,Science Fiction,Science Fiction,Fiction,,,10.99,198,,1,0,1,,Gladstone,100-200,£10-£12,8
258,Same Time Next Summer,Annabel Monaghan,2023,9781399718028,Hachette,Hodder And Stoughton,Paperback,Romance,Contemporary Romance,Fiction,,,9.99,285,,0,0,1,,Monaghan,200-300,£10-£12,3
259,The No-Show,Beth Oleary,2023,9781529409147,Hachette,Quercus,Paperback,Romance,Contemporary Romance,Fiction,,,8.99,392,,1,0,1,,Oleary,300-400,£8-£10,3
260,The Wake-Up Call,Beth Oleary,2023,9781529433296,Hachette,Quercus,Proof,Romance,Contemporary Romance,Fiction,,,,407,,1,0,1,,Oleary,400-500,,3
261,The Colour of Magic,Terry Pratchett,1983,9780552166591,Penguin Random House,Transworld,Paperback,Fantasy,Fantasy,Fiction,The Discworld Series,1,9.99,287,,1,0,1,,Pratchett,200-300,£10-£12,7
262,Glow,Raven Kennedy,2023,9781405955065,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,4,9.99,714,,1,0,1,,Kennedy,600+,£10-£12,7
263,Gleam,Raven Kennedy,2022,9781405955027,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,3,9.99,663,,1,1,1,,Kennedy,600+,£10-£12,7
264,Glint,Raven Kennedy,2022,9781405955041,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,2,9.99,462,,1,1,1,,Kennedy,400-500,£10-£12,7
265,Gild,Raven Kennedy,2022,9781405955003,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,1,9.99,386,,1,1,1,,Kennedy,300-400,£10-£12,7
266,Cult Classic,Sloane Crosley,2022,9781526636423,Bloomsbury,Bloomsbury Circus,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Romance",Fiction,,,16.99,282,,1,0,1,,Crosley,200-300,£12+,0
267,The Vanishing Half,Brit Bennett,2021,9780349701479,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,366,,0,0,1,,Bennett,300-400,£8-£10,0
268,Quidditch Through the Ages,J. K. Rowling,2020,9781526608123,Bloomsbury,Bloomsbury Childrens Books,Hardback,Childrens & Teenage,"Childrens & Teenage, Fantasy",Fiction,Harry Potter,,25.0,160,,0,0,1,,Rowling,100-200,£12+,10
269,The Tales of Beedle the Bard,J. K. Rowling,2022,9781526637895,Bloomsbury,Bloomsbury Childrens Books,Flexiback,Childrens & Teenage,"Childrens & Teenage, Fantasy",Fiction,Harry Potter,,14.99,160,,0,1,1,,Rowling,100-200,£12+,10
270,Fantastic Beasts and Where to Find Them,J. K. Rowling,2020,9781526620316,Bloomsbury,Bloomsbury Childrens Books,Flexiback,Childrens & Teenage,"Childrens & Teenage, Fantasy",Fiction,Harry Potter,,14.99,160,,0,0,1,,Rowling,100-200,£12+,10
271,The Feynman Lectures on Physics Volume 2,"Feynman, Leighton, And Sands",1989,9780201510041,Addison-Wesley,,Hardback,Academic,Lectures On Physics,Non-Fiction,Fenyman Lectures On Physics,2,52.99,592,,0,0,1,,Sands,500-600,£12+,14
272,The Feynman Lectures on Physics Volume 1,"Feynman, Leighton, And Sands",1989,9780201510034,Addison-Wesley,,Hardback,Academic,Lectures On Physics,Non-Fiction,Fenyman Lectures On Physics,1,26.71,560,,0,0,1,,Sands,500-600,£12+,14
273,The Feynman Lectures on Physics Volume 3,"Feynman, Leighton, And Sands",1989,9780201510058,Addison-Wesley,,Hardback,Academic,Lectures On Physics,Non-Fiction,Fenyman Lectures On Physics,3,29.0,400,,0,0,1,,Sands,400-500,£12+,14
274,Prof Alan Turing Decoded,Dermot Turing,2015,9781841656779,The History Press,,Hardback,Academic,"Science & Technology Biographies, Coding Theory And Cryptology",Non-Fiction,,,20.0,319,,0,0,1,,Turing,300-400,£12+,14
275,The GCHQ Puzzle Book II,Gchq,2018,9780241365434,Penguin Random House,Penguin Books,Paperback,Gifts,Puzzles & Quizzes,Non-Fiction,The Gchq Puzzle Books,2,12.99,358,,0,0,1,,Gchq,300-400,£12+,20
276,"Fashion, Faith and Fantasy in the New Physics of the Universe",Roger Penrose,2016,9780691119793,Princeton University Press,,Hardback,Academic,"Academic, History Of Science, Mathematics, Physics",Non-Fiction,,,15.99,501,,0,0,1,,Penrose,500-600,£12+,14
277,The Great Reclamation,Rachel Heng,2023,9781035406418,Hachette,Headline,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Historical Fiction",Fiction,,,,451,,0,0,1,,Heng,400-500,,0
278,The Ferryman,Justin Cronin,2023,9781398718951,Hachette,Orion,Proof,Science Fiction,"Science Fiction, Thriller",Fiction,,,,546,,0,0,1,,Cronin,500-600,,8
279,Building Machine Learning Powered Applications,Emmanuel Ameisen,2020,9781492045113,Oreilly Media,,Paperback,Academic,"Machine Learning, Artificial Intelligence",Non-Fiction,,,52.99,238,,0,0,1,,Ameisen,200-300,£12+,14
280,Cracking the Coding Interview,Gayle Laakmann Mcdowell,2016,9780984782857,Careercup,,Paperback,Careers,"Careers & Achieving Success, Software Engineering",Non-Fiction,,,34.95,696,,0,0,1,,Mcdowell,600+,£12+,22
281,The God Delusion,Richard Dawkins,2016,9781784161927,Penguin Random House,Transworld,Paperback,Philosophy,"Philosophy Of Religion, Agnosticism & Atheism",Non-Fiction,,,9.99,471,,0,0,1,,Dawkins,400-500,£10-£12,16
282,Homo Deus,Yuval Noah Harari,2016,9781784703936,Penguin Random House,Vintage,Paperback,Sociology,"Popular Science, Social & Cultural History",Non-Fiction,Yuval Noah Harari Collection,2,9.99,513,,0,0,1,,Harari,500-600,£10-£12,15
283,The GCHQ Puzzle Book I ,Gchq,2016,9780718185541,Penguin Random House,Penguin Books,Paperback,Gifts,Puzzles & Quizzes,Non-Fiction,The Gchq Puzzle Books,1,12.99,336,,0,0,1,,Gchq,300-400,£12+,20
284,Fourth Wing,Rebecca Yarros,2023,9780349436999,Hachette,"Little, Brown",Hardback,Fantasy,Fantasy Romance,Fiction,The Empyrean,1,20.0,498,,1,1,2,To Ferdia Fitzsimons,Yarros,400-500,£12+,7
285,Fairy Tale,Stephen King,2023,9781399705455,Hachette,Hodder And Stoughton,Paperback,Fantasy,Fantasy,Fiction,,,9.99,577,,1,0,1,,King,500-600,£10-£12,7
286,Love Marriage,Monica Ali,2022,9780349015507,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Family & Relationships",Fiction,,,9.99,499,,0,0,1,,Ali,400-500,£10-£12,0
287,Twisted Love,Ana Huang,2022,9780349434278,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,Twisted,1,9.99,358,,0,0,1,,Huang,300-400,£10-£12,3
288,The Cheat Sheet,Sarah Adams,2022,9781472297037,Hachette,Headline,Paperback,Romance,Contemporary Romance,Fiction,,,9.99,311,,1,0,1,,Adams,300-400,£10-£12,3
289,Terms and Conditions,Lauren Asher,2022,9780349433455,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,Dreamland Billionaires,2,9.99,477,,0,0,2,,Asher,400-500,£10-£12,3
290,Once Upon a Broken Heart,Stephanie Garber,2022,9781529380941,Hachette,Hodder And Stoughton,Paperback,Fantasy,Fantasy Romance,Fiction,Once Upon A Broken Heart,1,9.99,408,,1,0,1,To Emily Olive,Garber,400-500,£10-£12,7
291,Crooked Kingdom,Leigh Bardugo,2017,9781780622316,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,Six Of Crows,2,8.99,536,,1,1,1,,Bardugo,500-600,£8-£10,9
292,Tress of the Emerald Sea,Brandon Sanderson,2023,9781399613378,Hachette,Orion,Hardback,Fantasy,Fantasy,Fiction,,,22.0,369,,1,0,1,,Sanderson,300-400,£12+,7
293,A Life Worth Living,Tommy Jessop,2023,9781035411122,Hachette,Headline,Proof,Memoirs,"Memoirs, Film & Cinema, Disability",Non-Fiction,,,,334,,1,0,1,,Jessop,300-400,,19
294,Ever After,Kate Eberlen,2023,9781398712133,Hachette,Orion,Paperback,Romance,Contemporary Romance,Fiction,,,8.99,408,,0,0,1,,Eberlen,400-500,£8-£10,3
295,Fourth Wing,Rebecca Yarros,2023,9780349437378,Hachette,"Little, Brown",Proof,Fantasy,Fantasy Romance,Fiction,The Empyrean,1,,498,,1,1,1,,Yarros,400-500,,7
296,The God Delusion,Richard Dawkins,2007,9780552773317,Penguin Random House,Transworld,Paperback,Philosophy,"Philosophy Of Religion, Agnosticism & Atheism",Non-Fiction,,,8.99,463,,0,0,1,,Dawkins,400-500,£8-£10,16
297,The Selfish Gene,Richard Dawkins,2006,9780199291151,Oxford University Press,,Paperback,Popular Science,"Popular Science, Evolution",Non-Fiction,,,8.99,360,,0,0,1,,Dawkins,300-400,£8-£10,13
298,The Last Boyfriend,Nora Roberts,2012,9780425246030,Penguin Random House,,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,2,8.99,336,,0,0,1,,Roberts,300-400,£8-£10,0
299,The Next Always,Nora Roberts,2011,9780425243213,Penguin Random House,,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,1,8.99,341,,0,0,1,,Roberts,300-400,£8-£10,0
300,The Perfect Hope,Nora Roberts,2012,9780425246047,Penguin Random House,,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,3,8.99,324,,0,0,1,,Roberts,300-400,£8-£10,0
301,The First 3 Minutes,Steven Weinberg,1993,9780006540243,Harper Collins,Flamingo,Paperback,Academic,Mathematics And Science,Non-Fiction,,,5.99,212,,0,0,1,,Weinberg,200-300,<£8,14
302,Fourth Wing,Rebecca Yarros,2023,9780349437828,Hachette,"Little, Brown",Proof,Fantasy,Fantasy Romance,Fiction,The Empyrean,1,,498,,1,1,1,To Jennifer Mccallum,Yarros,400-500,,7
303,The Wild Card,Judy Murray,2023,9781398720305,Hachette,Orion,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Sport",Fiction,,,,314,,0,0,1,,Murray,300-400,,0
304,From Now Until Forever,Rowan Coleman,2023,9781399724142,Hachette,Hodder And Stoughton,Proof,Romance,Contemporary Romance,Fiction,,,,320,,0,0,1,,Coleman,300-400,,3
305,I Wish We Weren't Related,Radhika Sanghani,2023,9781035408733,Hachette,Headline,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,434,,0,0,1,,Sanghani,400-500,,0
306,Silver in the Bone,Alexandra Bracken,2023,9781786542007,Hachette,Hachette Childrens,Hardback,Young Adult,Ya Fantasy Romance,Fiction,Silver In The Bone,1,16.99,474,,0,0,1,,Bracken,400-500,£12+,9
307,The Ballad of Never After,Stephanie Garber,2023,9781529381009,Hachette,Hodder And Stoughton,Paperback,Fantasy,Fantasy Romance,Fiction,Once Upon A Broken Heart,2,9.99,403,,1,0,1,,Garber,400-500,£10-£12,7
308,Belladonna,Adalyn Grace,2022,9781529367263,Hachette,Hodder And Stoughton,Paperback,Fantasy,"Young Adult Fantasy Romance, Crime & Mystery",Fiction,Belladonna,1,9.99,408,,1,0,1,,Grace,400-500,£10-£12,7
309,View From the Summit,Sir Edmund Hillary,2000,9780552151047,Transworld Publishers,Corgi Books,Paperback,Memoirs,"Climbing & Mountaineering, Sport Autobiographies",Non-Fiction,,,11.99,382,,0,0,1,,Hillary,300-400,£12+,19
310,An Astronaut's Guide to Life on Earth,Chris Hadfield,2015,9781447259947,Pan Macmillan,Pan Books,Paperback,Memoirs,"Memiors, Space Science",Non-Fiction,,,8.99,310,,0,0,1,,Hadfield,300-400,£8-£10,19
311,Practice Makes Perfect,Sarah Adams,2023,9781472297082,Hachette,Headline,Paperback,Romance,Contemporary Romance,Fiction,,,9.99,331,,0,0,1,,Adams,300-400,£10-£12,3
312,Scandinavia,Lonely Planet,2013,9781742204208,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,17.99,518,,0,0,1,,Planet,500-600,£12+,21
313,Trekking in the Nepal Himalaya,Lonely Planet,2016,9781741792720,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,14.99,374,,0,0,1,,Planet,300-400,£12+,21
314,Superintelligence,Nick Bostrom,2016,9780198739838,Oxford University Press,,Paperback,Popular Science,"Popular Science, Social Forecasting And Future Studies",Non-Fiction,,,9.99,415,,0,0,1,,Bostrom,400-500,£10-£12,13
315,Dubrovnik & The Dalmatian Coast,Lonely Planet,2022,9781788681018,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,7.99,176,,0,0,1,,Planet,100-200,£8-£10,21
316,Menorca,Marco Polo,2019,9783829757621,Mairdumont,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,7.99,136,,0,0,1,,Polo,100-200,£8-£10,21
317,What Do You Care What Other People Think: Further Adventures of a Curious Character,Richard P. Feynman,1989,9780553347845,Bantam Books,,Paperback,Popular Science,Popular Science,Non-Fiction,,,10.99,255,,0,0,1,,Feynman,200-300,£10-£12,13
318,Reykjavik,Lonely Planet,2017,9781786575487,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,7.99,160,,0,0,1,,Planet,100-200,£8-£10,21
319,Surely You're Joking Mr Feynman!,Richard P. Feynman,1992,9780099173311,Vintage,,Paperback,Memoirs,"General Autobiography, Physics",Non-Fiction,,,6.99,350,,0,0,1,,Feynman,300-400,<£8,19
320,Amsterdam,Teresa Fisher,2007,9780749550820,Aa Publishing,,Hardback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,6.99,128,,0,0,1,,Fisher,100-200,<£8,21
321,Lonely Planet Best of India,Lonely Planet,2019,9781787013926,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,16.99,324,,0,0,1,,Planet,300-400,£12+,21
322,Time Out Paris Shortlist,Time Out,2014,9781846703393,Heartwood Publishing,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,7.99,191,,0,0,1,,Out,100-200,£8-£10,21
323,Modern Romance,Aziz Ansari And Eric Klinenberg,2016,9780141981468,Penguin Random House,Penguin Books,Paperback,Sociology,"Sociology, Dating, Relationships & Marriage",Non-Fiction,,,8.99,277,,0,0,1,,Klinenberg,200-300,£8-£10,15
324,The Three-Body Problem,Cixin Liu,2016,9781784971571,Bloomsbury,Head Of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance Of Earths Past,1,9.99,434,,0,0,1,,Liu,400-500,£10-£12,8
325,The Dark Forest,Cixin Liu,2016,9781784971618,Bloomsbury,Head Of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance Of Earths Past,2,10.99,550,,0,0,1,,Liu,500-600,£10-£12,8
326,Death's End,Cixin Liu,2017,9781784971656,Bloomsbury,Head Of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance Of Earths Past,3,10.99,724,,0,0,1,,Liu,600+,£10-£12,8
327,Oxford Concise Medical Dictionary,Oxford University Press,2007,9780199238637,Oxford University Press,,Paperback,Academic,Medicine,Non-Fiction,,,10.99,896,,0,0,1,,Press,600+,£10-£12,14
328,The Secret Barrister,Unknown,2019,9781509841141,Pan Macmillan,Picador,Paperback,Memoirs,"Memoir, Law, Criminal Law & Procedure",Non-Fiction,,,9.99,373,,0,0,1,,Unknown,300-400,£10-£12,19
329,Bloomsbury 35,Various Authors,2022,9781526658029,Bloomsbury,,Paperback,Literary Essays,"Literary History, Anthologies",Fiction,,,14.99,363,,0,0,1,,Authors,300-400,£12+,5
330,The Song of Achilles,Madeline Miller,2021,9781526648174,Bloomsbury,,Hardback,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,,,20.0,352,,1,1,1,,Miller,300-400,£12+,12
331,One Dark Window,Rachel Gillig,2022,9780356519494,Bloomsbury,"Little, Brown",Paperback,Fantasy,Fantasy Romance,Fiction,The Shepherd King,1,9.99,396,,1,0,1,,Gillig,300-400,£10-£12,7
332,The Witcher: The Last Wish,Andrzej Sapkowski,2019,9781473226401,Bloomsbury,Orion,Paperback,Fantasy,Fantasy,Fiction,The Witcher,1,8.99,280,,1,1,1,,Sapkowski,200-300,£8-£10,7
333,Costa Rica,Lonely Planet,2021,9781787016835,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,16.99,543,,0,0,1,,Planet,500-600,£12+,21
334,California State Map,Rand Mcnally,2010,9780528881107,Rand Mcnally & Co,,Map,Travel & Holiday Guides,Road Atlases & Maps,Non-Fiction,,,1.5,72,,0,0,1,,Mcnally,<100,<£8,21
335,Nice,Cartoville,,9782742437672,Cartoville,,Flexiback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,,0,,0,0,1,,Cartoville,<100,,21
336,Coastal California,Lonely Planet,2015,9781742206202,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,14.99,526,,0,0,1,,Planet,500-600,£12+,21
337,France,Dk Eyewitness,2016,9780241207178,Dk,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,17.99,672,,0,0,1,,Eyewitness,600+,£12+,21
338,California  ,Apa Publications Limited,2013,9781780055640,Apa Publications,,Map,Travel & Holiday Guides,Road Atlases & Maps,Non-Fiction,,,5.99,2,,0,0,1,,Limited,<100,<£8,21
339,London,Lonely Planet,2014,9781742208732,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,14.99,471,,0,0,1,,Planet,400-500,£12+,21
340,The Witcher: Sword of Destiny,Andrzej Sapkowski,2016,9781473211544,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Witcher,2,8.99,374,,0,0,1,,Sapkowski,300-400,£8-£10,7
341,The Very Pointless Quiz Book,Alexander Armstrong And Richard Osman,2014,9781444782738,Hachette,Hodder And Stoughton,Hardback,Gifts,"Trivia & Quiz Question Books, Tv",Non-Fiction,,,14.99,336,,0,0,1,,Osman,300-400,£12+,20
342,Give Great Presentations,Bloomsbury Publishing,2022,9781472993250,Bloomsbury,Bloomsbury Business,Paperback,Sociology,Business Communication & Presentation,Non-Fiction,Bloomsbury Business Essentials,,8.99,96,,0,0,1,,Publishing,<100,£8-£10,15
343,Disney Quotes to Live Your Life By,Walt Disney,2020,9781787417021,Bonnier Books,Studio Press Books,Hardback,Gifts,"Film & Television, General Humour",Fiction,,,6.99,112,,0,0,1,,Disney,100-200,<£8,20
344,Lady Macbethad,Isabelle Schuler,2023,9781526647252,Bloomsbury,Raven Books,Proof,Historical Fiction,Historical Fiction,Fiction,,,,359,,0,0,1,,Schuler,300-400,,11
345,A Treachery of Spies,Manda Scott,2019,9780552169516,Penguin Random House,Transworld,Paperback,Crime & Mystery,Crime & Mystery,Fiction,,,8.99,545,,0,0,1,,Scott,500-600,£8-£10,2
346,"1,342 QI Facts to Leave You Flabbergasted","John Lloyd, John Mitchinson, James Harkin",2017,9780571332472,Faber & Faber,,Paperback,Gifts,"General Humour, Tv Tie-In",Non-Fiction,,,6.99,356,,0,0,1,,Harkin,300-400,<£8,20
347,Harry Potter and the Philosopher's Stone,J. K. Rowling,2022,9781526646651,Bloomsbury,Bloomsbury Childrens Books,Hardback,Childrens & Teenage,"Childrens & Teenage, Fantasy",Fiction,Harry Potter,1,16.99,332,,0,1,1,,Rowling,300-400,£12+,10
348,Harrius Potter et Philosophi Lapis,J. K. Rowling,2015,9781408866184,Bloomsbury,Bloomsbury Childrens Books,Hardback,Childrens & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,1,16.99,249,Latin,0,0,1,,Rowling,200-300,£12+,10
349,A Theatre for Dreamers,Polly Samson,2021,9781526600592,Bloomsbury,,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,348,,1,0,1,,Samson,300-400,£8-£10,0
350,I Wandered Lonely as a Cloud,Ana Sampson,2009,9781843173946,Michael Omara Books,,Hardback,Poetry,Poetry Anthologies,Fiction,,,9.99,192,,0,0,1,,Sampson,100-200,£10-£12,6
351,The Little Prince,Antoine De Saint-Exupery,2010,9781909621565,Pan Macmillan,Macmillan Collectors Library,Hardback,Classic Fiction,"Classic Fiction, Fiction In Translation",Fiction,,,8.99,135,,0,0,1,,Saint-Exupery,100-200,£8-£10,4
352,The Kremlin Device,Chris Ryan,1999,9780099272052,Penguin Random House,Arrow Books,Paperback,Crime & Mystery,Thrillers,Fiction,,,5.99,420,,0,0,1,,Ryan,400-500,<£8,2
353,House of Trelawney,Hannah Rothschild,2020,9781526600608,Bloomsbury,,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, General Humour",Fiction,,,16.99,358,,0,0,1,,Rothschild,300-400,£12+,0
354,Harry Potter and the Chamber of Secrets,J. K. Rowling,2014,9781408855669,Bloomsbury,Bloomsbury Childrens Books,Paperback,Childrens & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,2,7.99,360,,0,1,2,,Rowling,300-400,£8-£10,10
355,Posh Pocket Puzzles Wondrous Wordsearch,Na,2014,9781472356666,Parragon,,Hardback,Gifts,Puzzles & Quizzes,Non-Fiction,,,8.0,128,,0,0,1,,Na,100-200,£8-£10,20
356,The Wise Man's Fear,Patrick Rothfuss,2012,9780575081437,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Kingkiller Chronicle,2,10.99,990,,0,1,1,,Rothfuss,600+,£10-£12,7
357,The Slow Regard of Silent Things,Patrick Rothfuss,2014,9781473209336,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Kingkiller Chronicle,2.5,8.99,159,,0,0,1,,Rothfuss,100-200,£8-£10,7
358,Nuclear Physics,Frank Close,2015,9780198718635,Oxford University Press,,Paperback,Academic,"Popular Science, Physics",Non-Fiction,A Very Short Introduction,438,8.99,123,,0,0,1,,Close,100-200,£8-£10,14
359,Marx,Peter Singer,2018,9780198821076,Oxford University Press,,Paperback,Academic,"Marzism & Communism, Philosophy",Non-Fiction,A Very Short Introduction,28,8.99,130,,0,0,1,,Singer,100-200,£8-£10,14
360,Economics,Partha Dasgupta,2007,9780192853455,Oxford University Press,,Paperback,Academic,Economics,Non-Fiction,A Very Short Introduction,156,8.99,172,,0,0,1,,Dasgupta,100-200,£8-£10,14
361,The Great Godden,Meg Rosoff,2020,9781526627452,Bloomsbury,Bloomsbury Ya,Proof,Childrens & Teenage,"Childrens & Teenage Fiction, General Fiction",Fiction,,,,247,,0,0,1,,Rosoff,200-300,,10
362,Midnight Chicken ,Ella Risbridger,2020,9781526623898,Bloomsbury,,Paperback,Memoirs,"Memoirs, Food & Society",Non-Fiction,,,9.99,320,,0,0,1,,Risbridger,300-400,£10-£12,19
363,If We Were Villains,M. L. Rio,2022,9781803362113,Titan Books,,Hardback,Crime & Mystery,"Crime & Mystery, Thrillers",Fiction,,,18.99,430,,0,0,1,,Rio,400-500,£12+,2
364,Normal People,Sally Rooney,2019,9780571334650,Faber & Faber,,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,266,,1,1,1,,Rooney,200-300,£8-£10,0
365,"Beautiful World, Where Are You",Sally Rooney,2021,9780571365425,Faber & Faber,,Hardback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,16.99,337,,1,0,1,,Rooney,300-400,£12+,0
366,The One That Got Away,Charlotte Rixon,2023,9781803289984,Bloomsbury,Head Of Zeus,Proof,Romance,Contemporary Romance,Fiction,,,,405,,0,0,1,,Rixon,400-500,,3
367,The Lovely Bones,Alice Sebold,2003,9780330485388,Pan Macmillan,Picador,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,7.99,328,,1,0,1,,Sebold,300-400,£8-£10,0
368,They Both Die at the End,Adam Silvera,2017,9781471166204,Simon & Schuster,,Paperback,Young Adult,"Young Adult, General Fiction",Fiction,,,7.99,373,,1,0,1,,Silvera,300-400,£8-£10,9
369,The Matter of Everything,Suzie Sheehy,2022,9781526618962,Bloomsbury,,Hardback,Popular Science,"Popular Science, Physics",Non-Fiction,,,20.0,313,,0,0,1,,Sheehy,300-400,£12+,13
370,A Day of Fallen Night,Samantha Shannon,2023,9781526619792,Bloomsbury,,Proof,Fantasy,Fantasy,Fiction,Roots Of Chaos,2,,873,,0,0,1,,Shannon,600+,,7
371,The Priory of the Orange Tree,Samantha Shannon,2020,9781408883358,Bloomsbury,,Paperback,Fantasy,Fantasy,Fiction,Roots Of Chaos,1,10.99,829,,1,1,1,,Shannon,600+,£10-£12,7
372,I Want to Die But I Want to Eat Tteokbokki,Baek Sehee,2022,9781526650863,Bloomsbury,,Proof,Memoirs,"Memoirs, Self-Help & Personal Development",Non-Fiction,,,,192,,1,0,1,,Sehee,100-200,,19
373,I Want to Die But I Want to Eat Tteokbokki,Baek Sehee,2022,9781526650863,Bloomsbury,,Hardback,Memoirs,"Memoirs, Self-Help & Personal Development",Non-Fiction,,,12.99,192,,1,0,1,,Sehee,100-200,£12+,19
374,Best of Friends,Kamila Shamsie,2022,9781526647702,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,315,,1,0,1,,Shamsie,300-400,,0
375,The Sonnets and A Lover's Complaint,William Shakespeare,2017,9780241288191,Penguin Random House,Penguin Books,Paperback,Poetry,Poetry Anthologies,Fiction,,,10.0,457,,0,0,1,,Shakespeare,400-500,£10-£12,6
376,The Consultant,Im Seong-Sun,2023,9781526654144,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Thrillers, Fiction In Translation",Fiction,,,,242,,0,0,1,,Seong-Sun,200-300,,2
377,Strong Female Lead,Arwa Mahdawi,2022,9781529360677,Hachette,Hodder And Stoughton,Paperback,Feminist Theory,"Feminism & Feminist Theory, Gender Studies",Non-Fiction,,,10.99,262,,0,0,1,,Mahdawi,200-300,£10-£12,18
378,Cleopatra and Frankenstein,Coco Mellors,2023,9780008421793,Harper Collins,4Th Estate,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,9.99,370,,1,0,1,,Mellors,300-400,£10-£12,0
379,Mythos,Stephen Fry,2018,9781405934138,Penguin Random House,Penguin Books,Paperback,Myths & Legends,Mythology & Legends,Fiction,Stephen Frys Greek Myths,1,10.99,441,,0,1,1,,Fry,400-500,£10-£12,12
