Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From,surname,Primary Genre numerical
Cracking the Coding Interview,Gayle Laakmann Mcdowell,2016,9780984782857,Careercup,,Paperback,Careers,"Careers & Achieving Success, Software Engineering",Non-Fiction,,,34.95,696,,0,0,1,,Mcdowell,22
The God Delusion,Richard Dawkins,2016,9781784161927,Penguin Random House,Transworld,Paperback,Philosophy,"Philosophy of Religion, Agnosticism & Atheism",Non-Fiction,,,9.99,471,,0,0,1,,Dawkins,16
Homo Deus,Yuval Noah Harari,2016,9781784703936,Penguin Random House,Vintage,Paperback,Sociology,"Popular Science, Social & Cultural History",Non-Fiction,Yuval Noah Harari collection,2,9.99,513,,0,0,1,,Harari,15
The GCHQ Puzzle Book I ,Gchq,2016,9780718185541,Penguin Random House,Penguin Books,Paperback,Gifts,Puzzles & Quizzes,Non-Fiction,The GCHQ Puzzle Books,1,12.99,336,,0,0,1,,Gchq,20
Fourth Wing,Rebecca Yarros,2023,9780349436999,Hachette,"Little, Brown",Hardback,Fantasy,Fantasy Romance,Fiction,The Empyrean Series,1,20.0,498,,1,1,2,,Yarros,7
Fairy Tale,Stephen King,2023,9781399705455,Hachette,Hodder And Stoughton,Paperback,Fantasy,Fantasy ,Fiction,,,9.99,577,,0,0,1,,King,7
Love Marriage,Monica Ali,2022,9780349015507,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Family & Relationships",Fiction,,,9.99,499,,0,0,1,,Ali,0
Twisted Love,Ana Huang,2022,9780349434278,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,Twisted,1,9.99,358,,0,0,1,,Huang,3
The Cheat Sheet,Sarah Adams,2022,9781472297037,Hachette,Headline,Paperback,Romance,Contemporary Romance,Fiction,,,9.99,311,,0,0,1,,Adams,3
Terms and Conditions,Lauren Asher,2022,9780349433455,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,Dreamland Billionaires,2,9.99,477,,0,0,2,,Asher,3
Once Upon a Broken Heart,Stephanie Garber,2022,9781529380941,Hachette,Hodder And Stoughton,Paperback,Fantasy,Fantasy Romance,Fiction,Once Upon a Broken Heart,1,9.99,408,,1,0,1,,Garber,7
Crooked Kingdom,Leigh Bardugo,2017,9781780622316,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,Six of Crows,2,8.99,536,,1,1,1,,Bardugo,9
Tress of the Emerald Sea,Brandon Sanderson,2023,9781399613378,Hachette,Orion,Hardback,Fantasy,Fantasy,Fiction,,,22.0,369,,1,0,1,,Sanderson,7
A Life Worth Living,Tommy Jessop,2023,9781035411122,Hachette,Headline,Proof,Memoirs,"Memoirs, Film & Cinema, Disability",Non-Fiction,,,,334,,0,0,1,,Jessop,19
Ever After,Kate Eberlen,2023,9781398712133,Hachette,Orion,Paperback,Romance,Contemporary Romance,Fiction,,,8.99,408,,0,0,1,,Eberlen,3
Fourth Wing,Rebecca Yarros,2023,9780349437378,Hachette,"Little, Brown",Proof,Fantasy,Fantasy Romance,Fiction,Fourth Wing Proofs,The Scribe Quadrant,,498,,1,1,1,,Yarros,7
The God Delusion,Richard Dawkins,2007,9780552773317,Penguin Random House,Transworld,Paperback,Philosophy,"Philosophy of Religion, Agnosticism & Atheism",Non-Fiction,,,8.99,463,,0,0,1,,Dawkins,16
The Selfish Gene,Richard Dawkins,2006,9780199291151,Oxford University Press,,Paperback,Popular Science,"Popular Science, Evolution",Non-Fiction,,,8.99,360,,0,0,1,,Dawkins,13
The Last Boyfriend,Nora Roberts,2012,9780425246030,Penguin Random House,,Paperback With Flaps,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,2,8.99,336,,0,0,1,,Roberts,0
The Next Always,Nora Roberts,2011,9780425243213,Penguin Random House,,Paperback With Flaps,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,1,8.99,341,,0,0,1,,Roberts,0
The Perfect Hope,Nora Roberts,2012,9780425246047,Penguin Random House,,Paperback With Flaps,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,3,8.99,324,,0,0,1,,Roberts,0
The First 3 Minutes,Steven Weinberg,1993,9780006540243,Harper Collins,Flamingo,Paperback,Academic,Mathematics and Science,Non-Fiction,,,5.99,212,,0,0,1,,Weinberg,14
Fourth Wing,Rebecca Yarros,2023,9780349437828,Hachette,"Little, Brown",Proof,Fantasy,Fantasy Romance,Fiction,Fourth Wing Proofs,The Infantry Quadrant,,498,,1,1,1,,Yarros,7
The Wild Card,Judy Murray,2023,9781398720305,Hachette,Orion,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Sport",Fiction,,,,314,,0,0,1,,Murray,0
From Now Until Forever,Rowan Coleman,2023,9781399724142,Hachette,Hodder And Stoughton,Proof,Romance,Contemporary Romance,Fiction,,,,320,,0,0,1,,Coleman,3
I Wish We Weren't Related,Radhika Sanghani,2023,9781035408733,Hachette,Headline,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,434,,0,0,1,,Sanghani,0
Silver in the Bone,Alexandra Bracken,2023,9781786542007,Hachette,Hachette Childrens,Hardback,Young Adult,YA Fantasy Romance,Fiction,Silver in the Bone,1,16.99,474,,0,0,1,,Bracken,9
The Ballad of Never After,Stephanie Garber,2023,9781529381009,Hachette,Hodder And Stoughton,Paperback,Fantasy,Fantasy Romance,Fiction,Once Upon a Broken Heart,2,9.99,403,,0,0,1,,Garber,7
Belladonna,Adalyn Grace,2022,9781529367263,Hachette,Hodder And Stoughton,Paperback,Young Adult,"Young Adult Fantasy Romance, Crime & Mystery",Fiction,Belladonna,1,9.99,408,,0,0,1,,Grace,9
View From the Summit,Sir Edmund Hillary,2000,9780552151047,Transworld Publishers,Corgi Books,Paperback,Memoirs,"Climbing & Mountaineering, Sport Autobiographies",Non-Fiction,,,11.99,382,,0,0,1,,Hillary,19
An Astronaut's Guide to Life on Earth,Chris Hadfield,2015,9781447259947,Pan Macmillan,Pan Books,Paperback,Memoirs,"Memiors, Space Science",Non-Fiction,,,8.99,310,,0,0,1,,Hadfield,19
Practice Makes Perfect,Sarah Adams,2023,9781472297082,Hachette,Headline,Paperback,Romance,Contemporary Romance,Fiction,,,9.99,331,,0,0,1,,Adams,3
Scandinavia,Lonely Planet,2013,9781742204208,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,17.99,518,,0,0,1,,Planet,21
Trekking in the Nepal Himalaya,Lonely Planet,2016,9781741792720,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,14.99,374,,0,0,1,,Planet,21
Superintelligence,Nick Bostrom,2016,9780198739838,Oxford University Press,,Paperback,Popular Science,"Popular Science, Social Forecasting and Future Studies",Non-Fiction,,,9.99,415,,0,0,1,,Bostrom,13
Dubrovnik & The Dalmatian Coast,Lonely Planet,2022,9781788681018,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,7.99,176,,0,0,1,,Planet,21
Menorca,Marco Polo,2019,9783829757621,Mairdumont,,Paperback With Flaps,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,7.99,136,,0,0,1,,Polo,21
What Do You Care What Other People Think: Further Adventures of a Curious Character,Richard P Feynman,1989,9780553347845,Bantam Books,,Paperback,Popular Science,Popular Science,Non-Fiction,,,10.99,255,,0,0,1,,Feynman,13
Reykjavik,Lonely Planet,2017,9781786575487,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,7.99,160,,0,0,1,,Planet,21
Surely You're Joking Mr Feynman!,Richard P Feynman,1992,9780099173311,Vintage,,Paperback,Memoirs,"General Autobiography, Physics",Non-Fiction,,,6.99,350,,0,0,1,,Feynman,19
Amsterdam,Teresa Fisher,2007,9780749550820,Aa Publishing,,Hardback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,6.99,128,,0,0,1,,Fisher,21
Lonely Planet Best of India,Lonely Planet,2019,9781787013926,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,16.99,324,,0,0,1,,Planet,21
Time Out Paris Shortlist,Time Out,2014,9781846703393,Heartwood Publishing,,Paperback With Flaps,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,7.99,191,,0,0,1,,Out,21
Modern Romance,Aziz Ansari And Eric Klinenberg,2016,9780141981468,Penguin Random House,Penguin Books,Paperback,Sociology,"Sociology, Dating, Relationships & Marriage",Non-Fiction,,,8.99,277,,0,0,1,,Klinenberg,15
The Three-Body Problem,Cixin Liu,2016,9781784971571,Bloomsbury,Head Of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance of Earth's Past,1,9.99,434,,0,0,1,,Liu,8
The Dark Forest,Cixin Liu,2016,9781784971618,Bloomsbury,Head Of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance of Earth's Past,2,10.99,550,,0,0,1,,Liu,8
Death's End,Cixin Liu,2017,9781784971656,Bloomsbury,Head Of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance of Earth's Past,3,10.99,724,,0,0,1,,Liu,8
Oxford Concise Medical Dictionary,Oxford University Press,2007,9780199238637,Oxford University Press,,Paperback,Academic,Medicine  ,Non-Fiction,,,10.99,896,,0,0,1,,Press,14
The Secret Barrister,Unknown,2019,9781509841141,Pan Macmillan,Picador,Paperback,Memoirs,"Memoir, Law, Criminal Law & Procedure",Non-Fiction,,,9.99,373,,0,0,1,,Unknown,19
Bloomsbury 35,Various Authors,2022,9781526658029,Bloomsbury,,Paperback With Flaps,Literary Essays,"Literary History, Anthologies",Fiction,,,14.99,363,,0,0,1,,Authors,5
The Song of Achilles,Madeline Miller,2021,9781526648174,Bloomsbury,,Hardback,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,,,20.0,352,,1,1,1,,Miller,12
One Dark Window,Rachel Gillig,2022,9780356519494,Bloomsbury,"Little, Brown",Paperback,Fantasy,Fantasy Romance,Fiction,The Shepherd King,1,9.99,396,,0,0,1,,Gillig,7
The Witcher: The Last Wish,Andrzej Sapkowski,2019,9781473226401,Bloomsbury,Orion,Paperback,Fantasy,Fantasy,Fiction,The Witcher,1,8.99,280,,1,1,1,,Sapkowski,7
Costa Rica,Lonely Planet,2021,9781787016835,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,16.99,543,,0,0,1,,Planet,21
California State Map,Rand Mcnally,2010,9780528881107,Rand Mcnally & Co,,Map,Travel & Holiday Guides,Road Atlases & Maps,Non-Fiction,,,1.5,72,,0,0,1,,Mcnally,21
Nice,Cartoville,,9782742437672,Cartoville,,Flexiback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,,,,0,0,1,,Cartoville,21
Coastal California,Lonely Planet,2015,9781742206202,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,14.99,526,,0,0,1,,Planet,21
France,Dk Eyewitness,2016,9780241207178,Dk,,Paperback With Flaps,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,17.99,672,,0,0,1,,Eyewitness,21
California  ,Apa Publications Limited,2013,9781780055640,Apa Publications,,Map,Travel & Holiday Guides,Road Atlases & Maps,Non-Fiction,,,5.99,2,,0,0,1,,Limited,21
London,Lonely Planet,2014,9781742208732,Lonely Planet,,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-Fiction,,,14.99,471,,0,0,1,,Planet,21
The Witcher: Sword of Destiny,Andrzej Sapkowski,2016,9781473211544,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Witcher,2,8.99,374,,0,0,1,,Sapkowski,7
The Very Pointless Quiz Book,Alexander Armstrong And Richard Osman,2014,9781444782738,Hachette,Hodder And Stoughton,Hardback,Gifts,"Trivia & quiz question books, TV",Non-Fiction,,,14.99,336,,0,0,1,,Osman,20
Give Great Presentations,Bloomsbury Publishing,2022,9781472993250,Bloomsbury,Bloomsbury Business,Paperback,Sociology,Business Communication & Presentation,Non-Fiction,Bloomsbury Business Essentials,,8.99,96,,0,0,1,,Publishing,15
Disney Quotes to Live Your Life By,Walt Disney,2020,9781787417021,Bonnier Books,Studio Press Books,Hardback,Gifts,"Film & Television, General Humour",Fiction,,,6.99,112,,0,0,1,,Disney,20
Lady Macbethad,Isabelle Schuler,2023,9781526647252,Bloomsbury,Raven Books,Proof,Historical Fiction,Historical Fiction,Fiction,,,,359,,0,0,1,,Schuler,11
A Treachery of Spies,Manda Scott,2019,9780552169516,Penguin Random House,Transworld,Paperback,Crime & Mystery,Crime & Mystery,Fiction,,,8.99,545,,0,0,1,,Scott,2
"1,342 QI Facts to Leave You Flabbergasted","John Lloyd, John Mitchinson, James Harkin",2017,9780571332472,Faber & Faber,,Paperback,Gifts,"General Humour, TV Tie-In",Non-Fiction,,,6.99,356,,0,0,1,,Harkin,20
Harry Potter and the Philosopher's Stone,J K Rowling,2022,9781526646651,Bloomsbury,Bloomsbury Childrens Books,Hardback,Children's & Teenage,"Childrens & Teenage, Fantasy",Fiction,Harry Potter,1,16.99,332,,0,1,1,,Rowling,10
Harrius Potter et Philosophi Lapis,J K Rowling,2015,9781408866184,Bloomsbury,Bloomsbury Childrens Books,Hardback,Children's & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,1,16.99,249,Latin,0,0,1,,Rowling,10
A Theatre for Dreamers,Polly Samson,2021,9781526600592,Bloomsbury,,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,348,,1,0,1,,Samson,0
I Wandered Lonely as a Cloud,Ana Sampson,2009,9781843173946,Michael Omara Books,,Hardback,Poetry,Poetry Anthologies,Fiction,,,9.99,192,,0,0,1,,Sampson,6
The Little Prince,Antoine De Saint-Exupery,2010,9781909621565,Pan Macmillan,Macmillan Collectors Library,Hardback,Classic Fiction,"Classic Fiction, Fiction in Translation",Fiction,,,8.99,135,,0,0,1,,Saint-Exupery,4
The Kremlin Device,Chris Ryan,1999,9780099272052,Penguin Random House,Arrow Books,Paperback,Crime & Mystery,Thrillers,Fiction,,,5.99,420,,0,0,1,,Ryan,2
House of Trelawney,Hannah Rothschild,2020,9781526600608,Bloomsbury,,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, General Humour",Fiction,,,16.99,358,,0,0,1,,Rothschild,0
Harry Potter and the Chamber of Secrets,J K Rowling,2014,9781408855669,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,2,7.99,360,,0,1,2,,Rowling,10
Posh Pocket Puzzles Wondrous Wordsearch,Na,2014,9781472356666,Parragon,,Hardback,Gifts,Puzzles & Quizzes,Non-Fiction,,,8.0,128,,0,0,1,,Na,20
The Wise Man's Fear,Patrick Rothfuss,2012,9780575081437,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Kingkiller Chronicle,2,10.99,990,,0,1,1,,Rothfuss,7
The Slow Regard of Silent Things,Patrick Rothfuss,2014,9781473209336,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Kingkiller Chronicle,2.5,8.99,159,,0,0,1,,Rothfuss,7
Nuclear Physics,Frank Close,2015,9780198718635,Oxford University Press,,Paperback With Flaps,Academic,"Popular Science, Physics",Non-Fiction,A Very Short Introduction,438,8.99,123,,0,0,1,,Close,14
Marx,Peter Singer,2018,9780198821076,Oxford University Press,,Paperback With Flaps,Academic,"Marzism & Communism, Philosophy",Non-Fiction,A Very Short Introduction,28,8.99,130,,0,0,1,,Singer,14
Economics,Partha Dasgupta,2007,9780192853455,Oxford University Press,,Paperback With Flaps,Academic,Economics,Non-Fiction,A Very Short Introduction,156,8.99,172,,0,0,1,,Dasgupta,14
The Great Godden,Meg Rosoff,2020,9781526627452,Bloomsbury,Bloomsbury Ya,Proof,Children's & Teenage,"Childrens & Teenage Fiction, General Fiction",Fiction,,,,247,,0,0,1,,Rosoff,10
Midnight Chicken ,Ella Risbridger,2020,9781526623898,Bloomsbury,,Paperback,Memoirs,"Memoirs, Food & Society",Non-Fiction,,,9.99,320,,0,0,1,,Risbridger,19
If We Were Villains,M L Rio,2022,9781803362113,Titan Books,,Hardback,Crime & Mystery,"Crime & Mystery, Thrillers",Fiction,,,18.99,430,,0,0,1,,Rio,2
Normal People,Sally Rooney,2019,9780571334650,Faber & Faber,,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,266,,1,1,1,,Rooney,0
"Beautiful World, Where Are You",Sally Rooney,2021,9780571365425,Faber & Faber,,Hardback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,16.99,337,,1,0,1,,Rooney,0
The One That Got Away,Charlotte Rixon,2023,9781803289984,Bloomsbury,Head Of Zeus,Proof,Romance,Contemporary Romance,Fiction,,,,405,,0,0,1,,Rixon,3
The Lovely Bones,Alice Sebold,2003,9780330485388,Pan Macmillan,Picador,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,7.99,328,,1,0,1,,Sebold,0
They Both Die at the End,Adam Silvera,2017,9781471166204,Simon & Schuster,,Paperback,Young Adult,"Young Adult, General Fiction",Fiction,,,7.99,373,,1,0,1,,Silvera,9
The Matter of Everything,Suzie Sheehy,2022,9781526618962,Bloomsbury,,Hardback,Popular Science,"Popular Science, Physics",Non-Fiction,,,20.0,313,,0,0,1,,Sheehy,13
A Day of Fallen Night,Samantha Shannon,2023,9781526619792,Bloomsbury,,Proof,Fantasy,Fantasy,Fiction,Roots of Chaos,2,,873,,0,0,1,,Shannon,7
The Priory of the Orange Tree,Samantha Shannon,2020,9781408883358,Bloomsbury,,Paperback,Fantasy,Fantasy,Fiction,Roots of Chaos,1,10.99,829,,1,1,1,,Shannon,7
I Want to Die But I Want to Eat Tteokbokki,Baek Sehee,2022,9781526650863,Bloomsbury,,Proof,Memoirs,"Memoirs, Self-help & Personal Development",Non-Fiction,,,,192,,1,0,1,,Sehee,19
I Want to Die But I Want to Eat Tteokbokki,Baek Sehee,2022,9781526650863,Bloomsbury,,Hardback,Memoirs,"Memoirs, Self-help & Personal Development",Non-Fiction,,,12.99,192,,1,0,1,,Sehee,19
Best of Friends,Kamila Shamsie,2022,9781526647702,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,315,,1,0,1,,Shamsie,0
The Sonnets and A Lover's Complaint,William Shakespeare,2017,9780241288191,Penguin Random House,Penguin Books,Paperback,Poetry,Poetry Anthologies,Fiction,,,10.0,457,,0,0,1,,Shakespeare,6
The Consultant,Im Seong-Sun,2023,9781526654144,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Thrillers, Fiction in Translation",Fiction,,,,242,,0,0,1,,Seong-Sun,2
Strong Female Lead,Arwa Mahdawi,2022,9781529360677,Hachette,Hodder And Stoughton,Paperback,Feminist Theory,"Feminism & Feminist Theory, Gender Studies",Non-Fiction,,,10.99,262,,0,0,1,,Mahdawi,18
Cleopatra and Frankenstein,Coco Mellors,2023,9780008421793,Harper Collins,4Th Estate,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,9.99,370,,1,0,1,,Mellors,0
Mythos,Stephen Fry,2018,9781405934138,Penguin Random House,Penguin Books,Paperback,Myths & Legends,Mythology & Legends,Fiction,Stephen Fry's Greek Myths,1,10.99,441,,0,1,1,,Fry,12
The Subtle Knife,Philip Pullman,1998,9780590112895,Scholastic Childrens Books,Scholastic Ltd,Paperback,Children's & Teenage,"Childrens & Teenage, Fantasy, Adventure",Fiction,His Dark Materials,2,6.99,341,,1,0,1,,Pullman,10
The Amber Spyglass,Philip Pullman,2001,9780439993586,Scholastic Childrens Books,Scholastic Ltd,Paperback,Children's & Teenage,"Childrens & Teenage, Fantasy, Adventure",Fiction,His Dark Materials,3,6.99,548,,1,0,1,,Pullman,10
How To  ,Randall Munroe,2019,9781473680326,Hachette,John Murray,Proof,Popular Science,"Popular Science, Comic Books & Cartoon Art",Non-Fiction,,,,290,,0,0,1,,Munroe,13
The Stargazers,Harriet Evans,2023,9781472271426,Hachette,Headline,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,403,,0,0,1,,Evans,0
Monsters,Claire Dederer,2023,9781399722322,Hachette,"Little, Brown",Proof,Philosophy,"Theory of Art, Ethical Issues & Debates",Non-Fiction,,,,273,,1,0,1,,Dederer,16
Everything I Never Told You,Celeste Ng,2014,9780349134284,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,297,,0,0,1,,Ng,0
River Sing Me Home,Eleanor Shearer,2023,9781472291363,Hachette,Headline,Proof,Historical Fiction,"Historical Fiction, Slavery & Abolition of Slavery",Fiction,,,,374,,0,0,1,,Shearer,11
If He Had Been With Me,Laura Nowlin,2019,9781728205489,Sourcebooks Fire,Sourcebooks,Paperback,Young Adult,Young Adult Romance,Fiction,,,9.99,389,,1,0,1,,Nowlin,9
The Hundred Loves of Juliet,Evelyn Skye,2023,9781035408054,Hachette,Headline,Proof,Romance,Contemporary Romance,Fiction,,,,320,,1,0,1,,Skye,3
Spoilt Creatures,Amy Twigg,2024,9781035411573,Hachette,Headline,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Psycology",Fiction,,,,323,,1,0,1,,Twigg,0
The Gravity of Us,Phil Stamper,2020,9781526619945,Bloomsbury,Bloomsbury Ya,Paperback,Children's & Teenage,"Childrens & Teenage, Romance, LGBTQ",Fiction,,,7.99,312,,0,0,1,,Stamper,10
As Far As You'll Take Me,Phil Stamper,2021,9781526630728,Bloomsbury,Bloomsbury Ya,Paperback,Children's & Teenage,"Childrens & Teenage, Romance, LGBTQ",Fiction,,,7.99,313,,0,0,1,,Stamper,10
Golden Boys,Phil Stamper,2022,9781526643841,Bloomsbury,Bloomsbury Ya,Paperback,Children's & Teenage,"Childrens & Teenage, Romance, LGBTQ",Fiction,,,7.99,372,,0,0,1,,Stamper,10
Three Women ,Lisa Taddeo,2020,9781526611642,Bloomsbury,,Paperback,Feminist Theory,"True Stories, Gender Studies, Sociology",Non-Fiction,,,9.99,389,,0,0,1,,Taddeo,18
Together We Will Go,J Michael Straczynski,2021,9781789097474,Titan Books,,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,324,,1,0,1,,Straczynski,0
Everybody Lies,Seth Stephens-Davidowitz,2018,9781408894736,Bloomsbury,Bloomsbury Paperbacks,Paperback,Sociology,"Sociology, Data Analysis, Politics & Government",Non-Fiction,,,10.99,338,,0,0,1,,Stephens-Davidowitz,15
Home,Cailean Steed,2023,9781526641663,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Crime & Mystery, Thrillers",Fiction,,,,323,,0,0,1,,Steed,2
A Man for All Markets,Edward O Thorp,2017,9781786071972,Oneworld Publications,,Paperback,Memoirs,"Business & Industry Autobiographies, Finance",Non-Fiction,,,10.99,396,,0,0,1,,Thorp,19
The Secret History,Donna Tartt,1993,9780140167771,Penguin Random House,Penguin Books,Paperback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Dark Academia",Fiction,,,8.99,628,,1,0,1,,Tartt,0
Ghost Lover,Lisa Taddeo,2022,9781526653178,Bloomsbury,Bloomsbury Circus,Trade Paperback,Short Stories,Short Stories,Fiction,,,13.99,221,,0,0,1,,Taddeo,1
Animal,Lisa Taddeo,2021,9781526630940,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Feminism & Feminist Theory",Fiction,,,,321,,1,0,1,,Taddeo,0
Chronicles from the Land of the Happiest People on Earth,Wole Soyinka,2021,9781526638243,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Thrillers",Fiction,,,,444,,0,0,1,,Soyinka,0
Not a Diet Book,James Smith,2020,9780008374297,Harper Collins,,Paperback,Sociology,"Fitness & Diet, Assertiveness, Motivation & Self-Esteem",Non-Fiction,,,9.99,295,,0,0,1,,Smith,15
Shadow and Bone,Leigh Bardugo,2018,9781510106369,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy Romance,Fiction,Shadow and Bone,1,7.99,307,,1,1,1,,Bardugo,9
Siege and Storm,Leigh Bardugo,2018,9781510106376,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy Romance,Fiction,Shadow and Bone,2,7.99,386,,1,1,1,,Bardugo,9
Ruin and Rising,Leigh Bardugo,2018,9781510106383,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy Romance,Fiction,Shadow and Bone,3,7.99,354,,0,1,1,,Bardugo,9
Harry Potter and the Philosopher's Stone,J K Rowling,2014,9781408855652,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,1,7.99,331,,0,1,1,,Rowling,10
Harry Potter and the Prisoner of Azkaban,J K Rowling,2014,9781408855676,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,3,7.99,461,,0,1,1,,Rowling,10
Harry Potter and the Goblet of Fire,J K Rowling,2014,9781408855683,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,4,8.99,616,,0,1,1,,Rowling,10
Harry Potter and the Order of the Phoenix,J K Rowling,2014,9781408855690,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,5,8.99,799,,0,1,1,,Rowling,10
Harry Potter and the Half Blood Prince,J K Rowling,2014,9781408855706,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,6,8.99,541,,0,1,1,,Rowling,10
Harry Potter and the Deathly Hallows,J K Rowling,2014,9781408855713,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Childrens & Teenage Fiction, Fantasy",Fiction,Harry Potter,7,8.99,619,,0,1,1,,Rowling,10
Q&A a Day,Potter Gift,2011,9780307719775,Penguin Random House,Crown Publishing Group,Hardback,Gifts,Journals,Non-Fiction,,,14.99,368,,1,0,1,,Gift,20
Beautiful Daughter,Jenny Kempe,2013,9781846346071,Helen Exley,,Hardback,Gifts,Gifts,Fiction,Life is Beautiful,,,36,,1,0,1,,Kempe,20
"Starry Night, Blurry Dreams",Henn Kim,2021,9781526635600,Bloomsbury,,Hardback,Poetry,Poetry  ,Fiction,,,12.99,304,,0,0,1,,Kim,6
Woodwork,Dk,2020,9780241412428,Dk,,Hardback,DIY,"DIY, Carpentry & Woodworking",Non-Fiction,,,25.0,399,,0,0,1,,Dk,23
Housebuilder's Bible,Mark Brinkley,2021,9781916016811,Ovolo Books,,Paperback,DIY,Home Renovation & Extension,Non-Fiction,,,25.0,346,,0,0,1,,Brinkley,23
Natural Flava,Craig & Shaun Mcanuff,2022,9781526631879,Bloomsbury,,Hardback,Cookery,Cookery,Non-Fiction,,,22.0,253,,0,0,1,,Mcanuff,24
Bosh!,Henry Firth & Ian Theasby,2018,9780008262907,Harper Collins,Hq,Hardback,Cookery,Cookery,Non-Fiction,,,22.0,288,,0,0,1,,Theasby,24
